days,WT1,WT2,WT3,OxR1,OxR2,OxR3,RuR1,RuR2,RuR3,WT_DMSO_1,WT_DMSO_2,WT_DMSO_3,RuR_DMSO_1,RuR_DMSO_2,RuR_DMSO_3
1,23.65,34.5,26.33,26.4,26.79,26.95,26.13,26,26.7,13.75,12.5,6.5,15,15.75,16.5
2,76.23,46.71,86.94,56.73,37.5,49.92,59.04,71.01,81.57,55,51,65.5,48,47,44.5
3,280.85,211.35,291.5,74.2,74.1,97.65,200.5,229.8,160.1,178,210,158,65.5,66,34
4,550.02,551.16,623.34,261.96,232.56,211.5,460.14,467.04,485.58,478.5,536.5,482.5,295.5,357.5,330.5
