L-lactate,citrate,deoxyuridine,X3.Methyl.2.oxovaleric.acid,X3.Methylcytidine,trans-4-hydroxy-L-proline,X2.Deoxyuridine,adenine,adenosine,alanine,alpha.Aminoadipic.acid,AKG,arginine,asparagine,aspartate,cis-aconitate,citrulline,L-cystathionine,cytidine,Dihydroxyacetone.phosphate,Erythrol,F6P.G1P,fumarate,Gluconate,glutamate,glutamine,glycine,guanosine,Hexose,histidine,homoserine,Hydroxyglutaric.acid,inosine,isocitrate,Isoleucine.Leucine,Ketoisovalerate,malate,Mannitol,methionine,Methionine.sulfone,Mevalonic.acid,N.Acetyl.L.aspartic.acid,N.Acetyl.serine,N4.Acetylcytidine,nicotinamide,ornithine,Pentose.phosphate,phenylalanine,creatine,Pseudouridine,pyruvate,Ribose,sarcosine,serine,succinate,threonine,thymidine,thymine,TMP,trehalose,tryptophan,tyrosine,uracil,uridine,xanthine,glucose,time,group
True,False,None,X,X,X,X,None,None,True,X,None,True,True,True,TCA,False,X,None,X,X,X,TCA,X,True,True,False,None,X,True,False,X,None,TCA,X,X,TCA,X,True,X,X,X,X,X,True,None,X,True,False,X,None,X,True,True,True,True,None,None,X,True,True,True,None,None,TCA,True,,
1912400,27841,332.95,2332.5,202.94,71318,11582,19524,88805,357070,2433.3,1781.6,376200,201400,192150,172.13,8045.4,200.42,538.31,1545.7,75081,189.31,3559.8,3054,333630,3293500,129170,38585,4132000,130670,7483.2,1661.5,920.88,342.61,369210,618.84,9282.2,63747,109160,865.09,338.48,1393.4,310.29,38548,3698.1,41276,11714,161670,283.49,1177.7,31109,12219000,357070,378460,80182,232250,91466,599.58,97354,1723.2,31896,140840,7203,9239.2,46183,10168000,24,OxR
2462300,25812,391.78,2359.1,222.14,73947,15461,-5.1264,88805,383670,2145.1,1800.9,383570,211630,198680,171.45,7885,407.81,650.29,1506.4,64206,123.27,3728.7,3047.9,336660,3346500,157200,44888,4240800,131690,8245,1584.4,989.93,1819.2,394900,573.36,9388.7,69051,107160,797.78,317.95,1349.8,333.98,51439,4652.3,39748,11205,167440,321.45,1326.8,27555,12125000,383670,377170,81933,232230,32764,620.8,99264,1781.1,27809,134840,6599,9423,44685,10274000,24,OxR
2108700,28984,455.31,2273.9,202.94,82086,14148,15814,88805,369030,1806.4,1759.4,372890,202420,192720,163.51,8132.1,571.76,569.33,1756.5,72830,126.7,3357.1,2164,329120,3249700,150930,38585,4350400,128950,9127.9,1696.4,1066,422.45,378050,676.93,9181.6,71681,107450,568.45,131.6,2076.2,281.92,45739,3801.2,40564,10948,160370,306.58,1363.7,26660,12673000,369030,367650,78665,226160,211.18,693.77,86705,1840.1,29463,133320,6463.3,9455,40450,9823700,24,OxR
1828500,25790,333.56,2418,202.94,70967,14889,-22859,88805,375210,2272.7,1756.2,366980,199000,188770,177.07,7866.7,719.4,496.53,1494.6,73312,86491,3287.1,2774.6,321800,3165200,133540,41171,4123200,138320,3601.2,1612.9,872.23,293.34,385770,499.91,9055.7,62588,103780,718.73,132.44,1478.2,312.25,36321,5691.8,40175,10890,161390,290.08,1203.8,26402,20267000,375210,367300,77720,227490,161.31,552.21,104.25,1709.8,27381,128450,6733.7,8486.6,42910,9729600,24,OxR
2492300,29624,435.22,2314.2,202.94,76434,14062,-42187,88805,395300,2125,1788.6,376140,207590,196560,179.58,8567.4,879.34,578.83,1652.5,96320,83.89,3507.3,2824.9,335410,3271900,134550,38585,4270400,134270,13492,1868.3,971.48,340.24,406160,590.1,9293.9,68133,112870,486.49,411.6,1607.1,288.73,51993,3573.6,41892,11287,164500,244.44,1369.3,26639,13332000,395300,381730,83094,228250,130.25,409.29,101.85,1843,27777,131300,6435.5,9513.4,43014,10185000,24,OxR
2303500,28614,425.97,2254.5,202.94,70038,15365,49.66,88805,377700,2473.1,1861.2,386640,208750,196110,173.26,8272.7,392.03,526.01,1605.2,73215,194.47,3625.7,2888.9,336740,3382700,139710,39836,4301400,133010,7312.4,1699,915.41,1031.3,385540,513.85,9512.6,63625,114440,832.42,84862,1936.9,330.99,35191,5218.1,41746,10694,169610,299.87,1339.8,30469,12518000,377700,388340,81322,230630,80.3,509.4,111.25,2024.4,29688,140600,7185.2,9265.1,45839,10465000,24,OxR
2374400,24769,445.18,2391.7,202.94,77023,14001,20984,88805,378860,2382.5,1874,394370,215570,204020,170.01,8666.7,558.9,548.32,2046.5,92500,152.64,3555.5,2747.3,345310,3393800,159450,38585,4439600,138840,9411,1758.1,972.07,992.31,393420,664.15,9615,70333,107520,750.49,469.58,1505,353.1,37278,5468.9,41685,11642,174780,286.06,1329.4,27864,13069000,378860,404040,84780,237860,159.78,585.52,114.78,1799.9,31971,142670,7177.7,9914.9,46031,10428000,24,OxR
2217200,25904,345.5,6016.4,202.94,75504,38335,-47107,88805,373470,2410.6,2882.5,364020,196850,190490,180.06,8244.1,538.03,288.24,2202.8,73506,134.6,3544.2,3613.3,344080,3000100,159110,38585,4025100,128960,4508.5,1587.6,730.99,437.02,391370,1540.7,9307.4,63736,106600,881.97,296.97,1582.5,360.62,42376,3181.4,52172,10697,159750,316.87,1360.7,55801,12737000,373470,348020,79109,221980,76539,777.55,65523,1773.4,28068,134340,7203.3,7484.4,49832,9940600,48,OxR
1984200,34803,392.53,6174.1,202.94,75326,46231,-73063,88805,399840,2367.6,3054.9,371610,205670,196540,191.98,8175.6,440.17,266.83,1750.9,85984,254.64,3496.1,2661.8,348090,3071900,170030,38585,4296800,130380,4539.7,1638.4,754.98,1182.3,371360,1166.8,9521.8,66370,105080,813.1,278.65,1615.4,305.11,30515,3402.6,54157,10524,167480,257.52,1283.5,54787,12187000,399840,369560,82004,226960,12051,839.23,65816,1638.9,30797,136510,6370.4,7500,44864,10271000,48,OxR
3215500,26603,342.63,6786.2,202.94,82426,49602,-48556,88805,409770,2138,3276.7,389240,216730,206870,235.25,9246.2,488.94,309.34,2232.5,76889,103.02,3670,2823,367900,3203200,184420,38585,4516700,140680,6182.2,1864.7,851.55,807.44,391740,1267.2,10075,71615,112210,828.36,166.8,1802.7,347.56,32657,5705.6,58225,12064,174920,203.34,1387,51761,26914000,409770,402440,86630,238710,87163,745.44,60.43,1888.2,35361,148940,7095.3,8168.1,48389,10332000,48,OxR
2474400,24859,381.24,6283.1,202.94,80405,49586,-48166,88805,429230,1656.1,3198.8,387070,214390,204110,223.99,8876.8,573.2,284.12,1601.5,95824,135.56,3868.4,2681.7,365560,3231900,174700,38585,4362800,135560,8737.7,1934.2,772.41,991.93,423690,910.12,9955.8,69750,112040,707.15,91823,1734.6,328.46,44866,2230.3,54990,11442,170260,272.44,1456.4,56240,14980000,429230,380260,85515,249580,174.91,692.47,63922,2181,30864,145880,7050.9,8039.3,49281,10422000,48,OxR
2635600,30058,382.65,6293.6,202.94,85155,48884,-32558,88805,427170,1554.8,3204.6,385230,217180,206730,197.8,8812.7,391.55,265.56,2539.7,82789,134.33,3689.8,3505.1,363820,3217500,168150,38585,4370900,136700,7785.2,1782.5,834.15,231.65,416670,759.87,9921.4,72318,113750,779.54,55393,1798.3,343.43,51196,1904.6,56145,11137,173410,329.68,1481.4,58713,14486000,427170,381370,87382,224500,47623,730.06,59.67,1755.2,30537,144120,6919.7,8517.9,47713,10292000,48,OxR
3163000,28227,434.01,6530.1,202.94,84443,39931,-47377,88805,413240,2127.9,3058.9,362740,201820,197160,192.57,7991.8,681.59,276.74,2510.6,121940,93524,3410.2,2492.5,349240,3053300,169830,38585,4386000,140010,7439.1,1741.4,859.78,454.23,382730,1123.9,9307.7,68612,103170,421.08,121.58,2470.9,286.78,28925,2399.7,53715,11736,162670,293.31,1313.6,56840,16054000,413240,373140,80884,229560,252.75,635.97,60897,1814,28026,134750,6775.5,7618.9,46345,10117000,48,OxR
1924300,29143,406,6122.5,202.94,88805,42299,-50242,88805,415910,2392.5,3142.6,375590,210070,200660,203.87,8652.2,734.65,250.47,2273.6,86061,97949,3666.1,2820.5,357950,3116700,184500,38585,4271600,131690,9638.1,1909.6,858.18,351.61,402840,996.43,9644.6,73402,106270,581.14,334.22,1485.8,382,30756,5314.4,54642,11619,167570,236.68,1367.7,59563,24394000,415910,370950,82869,239300,141.46,667.77,61668,1709,30686,141430,7048.5,8628.6,49267,10086000,48,OxR
3266900,23144,340.2,5885.3,202.94,76979,43137,-15662,88805,390730,2022.7,3097.4,365840,203050,196750,187.86,8549.3,316.79,249.7,2216.5,71036,175.35,3554.2,2931.1,348500,3079400,160200,38585,4230600,131620,6030.1,1844.7,736.53,321.19,393630,1288.8,9593.4,66151,112870,728.26,157.22,1559.7,299.73,33251,5023.9,55290,11512,163820,314.07,1230.6,54653,18584000,390730,370730,81621,219090,194.16,739.45,72667,1763.9,26419,138480,6809.8,7555.1,48164,10058000,48,OxR
2889600,26196,335.85,12193,220.92,87490,143830,-38184,88805,432600,2524.9,4255.3,379350,213820,204810,226.82,8568.8,350.75,96779,2927.6,73758,226.34,3941.2,3319.3,395990,2993900,200320,38585,4217000,133850,6897.8,1817.1,478.62,1943.1,410410,2860.1,10470,72051,114290,889.6,136.19,1875.6,443.69,15312,5465.4,71308,11323,175040,465.54,1448,92954,22605000,432600,366100,87902,242350,27281,862.06,57414,1957.4,29384,141790,7050.5,4323.5,55235,10459000,72,OxR
2991800,28197,319.3,12336,202.94,90672,123360,-67012,88805,429430,1974.2,4336.3,376030,209930,207560,242.23,8627.8,352.42,56703,3198.4,77258,191.67,3942.2,2953,396970,3014700,219830,38585,4285800,142980,9325.4,1935.7,500.9,708.63,383180,2343.2,10415,74172,109710,646.58,148.13,2511.7,420.29,27019,6043.9,73026,11453,171490,369.64,1451.4,88385,15153000,429430,364510,84596,233440,124.44,1006.4,57414,1876.6,27874,138110,7313.3,4167.5,55148,10212000,72,OxR
4739100,26358,341.72,11638,202.94,85089,113580,-32975,88805,427550,2526.7,4182.3,372750,209880,204740,228.77,8978.6,464.95,26772,3494.3,106450,144.73,3823.9,2514.4,387510,2976800,198510,38585,4168300,133940,5691.8,1814.3,462.03,1597.6,406890,1952,10376,69796,110570,805.65,151.25,2162.9,384.81,25257,3843.2,67930,11097,173670,381.89,1507.8,94794,12646000,427550,361390,85544,236280,450.2,685.65,62409,1859.1,26991,140630,7201.1,4081.2,53297,10217000,72,OxR
4232100,28533,406.06,12585,202.94,97837,106660,27.66,88805,453760,2110.7,4405.9,380790,213300,210730,248.87,9130,530.87,59598,3243.8,141810,143.36,3921.9,2928.2,401790,3019100,221220,38585,4377100,137030,8287.2,1996.8,508.05,153.53,396170,2420.8,10577,76891,110750,685.05,279.29,3277.3,517.65,20707,3030.6,71754,11808,174730,476.03,1545.2,80063,14312000,453760,370230,89957,237110,277.51,777.06,62202,1839.3,29220,140370,6991.6,4099.2,47517,10225000,72,OxR
3302400,27342,379.64,12973,202.94,95901,147230,-53995,88805,439200,2117.2,4356.4,375080,219210,209470,221.8,9093,547.63,65792,3167.1,76861,141.76,3944,3191.5,402400,3032600,207080,38585,4480200,137880,9934.1,2069.7,486.91,848.88,395450,2098.9,10625,76492,107190,661.03,148.9,3355.7,523.34,35109,5644.7,71589,11653,173390,274.5,1505.7,90167,13177000,439200,370530,89633,244830,285.45,1094,64161,1924.1,28473,145720,7420,3928.5,54047,10307000,72,OxR
3409700,29312,321.49,11544,202.94,81420,151540,-60508,88805,440810,2147.3,4254,378710,214060,207650,205.92,9055.8,486.19,64896,3372.8,118710,150.77,4014.8,3350.9,393860,3011700,176130,38585,4214700,136670,5734.5,1921.3,451.36,1357.4,418530,2558.6,10644,67353,112020,898.07,146.93,2358.3,382.6,38.12,5815.4,68124,11615,176120,356.8,1384.9,85534,2.2e+07,440810,356770,86077,237110,117.52,837.25,62709,1816,31981,134490,7512.4,4062.5,54600,10323000,72,OxR
4964900,26486,403.93,11635,202.94,88019,168020,-60036,88805,435320,2509.2,4372.8,372600,214280,205470,235.72,8650.4,519.53,10101,3384.4,89968,299.45,4027.2,3183.7,394170,2962800,183290,39865,4428900,133720,7890.3,1778.4,468.71,1076.6,388250,2183.9,10382,71173,115460,763.78,122.95,2576.2,391.93,14143,5403.2,66215,10512,171920,331.44,1426.6,88853,24446000,435320,364870,84639,233340,27427,936.46,59727,1762.1,28724,142940,7129.7,3983.4,49728,10205000,72,OxR
3550400,31057,319.6,13459,202.94,84320,170590,-47995,88805,461590,1325.1,4384.1,378110,221960,210130,225.72,9383.3,340.21,56911,2809.9,85451,205.67,3962.1,3744.2,403650,3032700,198660,38585,4284800,139690,6467.4,2009.3,426.91,559.37,411980,1261.2,10692,69505,123080,802.64,145.18,2625.3,422.29,47788,6504.8,71462,12310,178300,288.47,1452.9,93747,19508000,461590,358630,87337,246820,169.75,1152.8,62389,1869.3,31033,138860,7312.4,3618.9,58650,10494000,72,OxR
1920800,28934,412.71,918.57,202.94,69620,3801.5,144.96,92064,375690,1717.9,814.9,400670,217120,199820,196.8,8646.6,338.14,746.21,1735.2,98726,159.36,3797.8,3208,337310,3669300,107500,199.56,4310900,148920,6695.4,1814.7,1165.9,2670.2,426930,533.91,9613.3,66662,115360,972.65,95776,1312.1,354.37,43204,3661,30925,9891.4,171960,268.2,1332.9,3804.8,16355000,375690,405610,85496,231650,187.14,516.4,124.46,2085.5,31094,149280,7538.4,9818.6,37691,10627000,0,OxR
1621800,24900,415.38,797.48,202.94,67142,2688.9,80112,88805,343390,2656.4,723.71,364600,196190,183230,161.19,8463.4,287.24,685.41,1053.8,56738,235.97,3265.8,2632.6,309200,3333100,100620,241.17,4006500,122990,3962.3,1538,1117,979.31,352640,272.02,8826.6,64329,104330,799.57,176.75,1238.6,346.68,57461,4518.2,29120,8253.1,164610,185.26,1252.2,4503.8,21544000,343390,376000,76245,209050,319.82,582.83,118.56,1650.5,29316,126870,6633.9,9514.5,32753,9877800,0,OxR
1362900,27323,381.14,925.59,218.26,67287,3134.9,102.79,88805,377710,1585.6,801.48,397570,218280,198480,171.53,8474.4,490.9,694.11,1629.4,66763,194.93,3632.4,3017.2,331460,3628300,106880,210.86,4509600,137200,7296.3,1856,1094.1,2687.3,411330,685.84,9582.5,65558,118280,901.67,332.5,1355.5,331,31731,4883.8,32878,9256.7,168420,252.22,1368.6,4005.2,13375000,377710,379110,84676,225760,188.31,625.18,109.11,1943.3,29616,136700,7248.9,9546.9,36059,10853000,0,OxR
2098600,28093,389.03,854.54,202.94,64451,3021.5,117.05,88805,340790,1961,763.73,376950,206300,189520,162.21,8344.4,397.44,724.03,1520.5,89873,200.49,3444.6,3168.6,319280,3446900,98680,210.54,4234300,132010,4638.9,1636.7,1117,826.41,387670,513.38,9098.1,64527,110830,892.8,175.83,1374.1,397.53,31.44,3140.8,28926,8660.8,158410,173.44,1204.7,3186.6,15497000,340790,392260,79553,220110,161.73,543.68,143.92,1828.5,28736,131660,7232.3,9876.6,33529,10232000,0,OxR
