L-lactate,citrate,deoxyuridine,X3.Methyl.2.oxovaleric.acid,X3.Methylcytidine,trans-4-hydroxy-L-proline,X2.Deoxyuridine,adenine,adenosine,alanine,alpha.Aminoadipic.acid,AKG,arginine,asparagine,aspartate,cis-aconitate,citrulline,L-cystathionine,cytidine,Dihydroxyacetone.phosphate,Erythrol,F6P.G1P,fumarate,Gluconate,glutamate,glutamine,glycine,guanosine,Hexose,histidine,homoserine,Hydroxyglutaric.acid,inosine,isocitrate,Isoleucine.Leucine,Ketoisovalerate,malate,Mannitol,methionine,Methionine.sulfone,Mevalonic.acid,N.Acetyl.L.aspartic.acid,N.Acetyl.serine,N4.Acetylcytidine,nicotinamide,ornithine,Pentose.phosphate,phenylalanine,creatine,Pseudouridine,pyruvate,Ribose,sarcosine,serine,succinate,threonine,thymidine,thymine,TMP,trehalose,tryptophan,tyrosine,uracil,uridine,xanthine,glucose,time,group
True,False,None,X,X,X,X,None,None,True,X,None,True,True,True,TCA,False,X,None,X,X,X,TCA,X,True,True,False,None,X,True,False,X,None,TCA,X,X,TCA,X,True,X,X,X,X,X,True,None,X,True,False,X,None,X,True,True,True,True,None,None,X,True,True,True,None,None,TCA,True,,
1362900,27323,381.14,925.59,218.26,67287,3134.9,102.79,88805,377710,1585.6,801.48,397570,218280,198480,171.53,8474.4,490.9,694.11,1629.4,66763,194.93,3632.4,3017.2,331460,3628300,106880,210.86,4509600,137200,7296.3,1856,1094.1,2687.3,411330,685.84,9582.5,65558,118280,901.67,332.5,1355.5,331,31731,4883.8,32878,9256.7,168420,252.22,1368.6,4005.2,13375000,377710,379110,84676,225760,188.31,625.18,109.11,1943.3,29616,136700,7248.9,9546.9,36059,10853000,0,RuR+DMSO
2098600,28093,389.03,854.54,202.94,64451,3021.5,117.05,88805,340790,1961,763.73,376950,206300,189520,162.21,8344.4,397.44,724.03,1520.5,89873,200.49,3444.6,3168.6,319280,3446900,98680,210.54,4234300,132010,4638.9,1636.7,1117,826.41,387670,513.38,9098.1,64527,110830,892.8,175.83,1374.1,397.53,31.44,3140.8,28926,8660.8,158410,173.44,1204.7,3186.6,15497000,340790,392260,79553,220110,161.73,543.68,143.92,1828.5,28736,131660,7232.3,9876.6,33529,10232000,0,RuR+DMSO
1413800,23112,418.46,3217.2,202.94,73856,11377,-43.77,88805,371960,2628.1,1324.3,369580,208750,192080,181.71,8331.1,364.91,586.2,1839.7,89064,101,3390.6,3011.2,326700,3192900,129790,41177,4128100,128710,4330.1,1488.9,916.55,488.2,381340,519.84,9096.8,68768,113070,812.2,153.46,1553.9,356.12,38558,4656.4,40100,10161,161350,253.91,1282,19433,20229000,371960,360250,78659,222930,59574,795.05,59173,1995,29230,134260,6595.8,9171.9,46640,9866200,24,RuR
1913200,28052,406.84,3217.9,202.94,72160,14031,-3.4763,88805,367870,1835.9,1366.5,383390,214350,199460,190.03,8425.3,747.54,560.83,1591.5,93214,202.37,3702.7,2896.8,334780,3358800,144650,40.53,4209000,137070,11489,1797.5,887.6,348.92,400840,875.41,9432.6,67317,107430,695.51,172.31,1705,300.93,38417,3117.5,40052,10789,165940,238.64,1379,19951,16964000,367870,393580,81311,227400,71022,638.4,64394,1953.7,30563,137680,6817.8,8940.4,45079,10211000,24,RuR
1903500,25974,349.36,3278.6,237.44,67796,12797,-22272,88805,374850,1793.8,1334.4,366750,205410,189250,182.38,7766.8,362.29,615.34,1294.4,82244,140.79,3517.1,2762.2,324450,3233100,126090,38585,4048600,128880,3542,1597.6,834.02,1372,371710,891.43,9175.7,63261,111040,921.26,228.29,1412.3,325.12,27.51,2575.8,40492,10249,154040,201.5,1303,17319,11558000,374850,368270,77301,220040,215.7,554.82,57414,1078.2,28008,129540,6675.7,8355.9,45853,9743700,24,RuR
1813100,25603,435.99,3245.7,202.94,81164,13999,-23964,88805,388960,2030.3,1352,384840,208880,198050,184.34,8949.6,518.36,598.78,1938.5,83227,84875,3496,2353.4,331610,3351500,163290,38585,4402700,134580,9220.2,1815.5,967.52,1825.5,383610,1092.6,9442.4,74596,106490,658.45,299.87,1614.1,325.35,31.23,2708.3,40647,10850,164840,323.55,1346.5,17828,16241000,388960,396400,82469,227610,150.94,437.83,61813,1806.1,29294,143850,6942.3,9644.7,44350,10433000,24,RuR
1969200,29290,368.23,9341.9,202.94,76970,46765,-43022,88805,424400,2716,2969.7,376920,215350,199590,209.59,8473.1,424.26,187.66,1487.4,87800,183.3,3917.6,3033.4,356540,3139800,159250,41969,4212600,135630,7314.2,1680.1,499.34,448.57,405910,1881.8,9749.8,67180,111690,964.27,193.82,2374.1,390.57,33394,6933.3,53735,10627,167000,338.87,1358.2,63469,16212000,424400,367010,83674,231890,166.5,697.61,62069,1655.6,28695,137200,7498.7,4686.3,52174,10296000,48,RuR
3332900,30816,400.65,8557.8,202.94,88571,34483,-82229,88805,395620,1953.5,2874.7,361120,202440,191490,188.52,8712.5,554.75,133.17,1992.7,148670,121.98,3502.8,2243.5,342320,3015600,190290,38585,4312400,129980,11179,1841.8,535.83,813.89,395520,1887.4,9367.7,73604,96151,543.01,168.44,2547,315.32,29275,2503.8,52322,10767,160100,245.53,1324.3,62125,13290000,395620,362220,81110,224250,76441,938.84,61687,1715.6,26540,131410,6247.5,4476.9,44007,9806000,48,RuR
2896300,26345,376.65,8148,202.94,75990,43298,-31304,88805,384810,2555.9,2843.2,357160,199100,188010,188.89,7946.6,350.11,217.68,1943.7,65379,207.65,3593.9,3194,339890,2978900,152310,38585,4133200,124610,6803.9,1698.3,467.26,781.2,382220,1331.9,9333.8,67100,110910,830.99,271.03,2227.7,371.52,49133,5227.4,52579,10211,161520,247.17,1279.7,66662,16985000,384810,330770,79891,215210,44.36,835.02,64114,1659.8,26010,132440,6710.6,4103.3,47810,9866600,48,RuR
3345000,24718,333.84,8473.9,202.94,75715,48627,-59067,88805,383290,1570.2,2814.4,359560,200950,190990,196.43,8272.1,407.17,175.83,1412.7,63216,223.38,3690.6,3042.9,341850,3040800,160050,38585,4049000,127480,5473.9,1673,460.01,2225.7,380370,1393.8,9466.1,66771,104430,881.41,176.15,2060,395.1,23124,3002.1,54198,9249.3,160900,249.87,1262.6,60514,20140000,383290,357260,80530,216290,70724,625.43,59656,1738.2,26217,136050,6802.7,4407.7,48068,9826800,48,RuR
3290700,31284,283.99,16345,202.94,83203,122950,-41114,88805,415430,2290.9,4514,362690,209340,186030,277.04,9104.5,463.66,3.5177,2479.1,74288,231.71,4070.3,3034.3,373280,2954300,179810,38585,4374300,131720,6256.4,1893.6,13459,706.47,370190,2921.1,10609,68501,103180,830.97,124.05,4104,510.56,20208,5229,63575,10820,166370,455,1627.8,112040,19384000,415430,317380,86627,213450,-2.2575,1100.4,57414,1840,25203,128780,7599.3,52496,56788,10102000,72,RuR
3904400,31124,330.06,16274,202.94,110870,104790,-82972,88805,405720,1868.2,4229.7,330630,192530,174350,243.84,8249.6,601.76,-38897,2189,108320,104.98,3758.3,3964.1,343900,2750100,232840,38585,4120100,118900,7551.3,1953,26176,504.19,339640,2924.4,9699.2,79734,90019,356.83,137.9,5222.2,678.46,15161,3284,59992,9934.7,148720,681.24,1348.4,117470,11708000,405720,295830,81218,198020,110.02,953.24,57414,1636.9,25198,123020,6009.7,71947,42048,9194700,72,RuR
5087400,34916,389.43,18060,202.94,92970,113060,-124.67,101.7,426030,1594.8,4444.9,348310,205130,182500,256.1,9024.5,552.6,-26644,2777.3,111520,110.67,3916,2726.1,364830,2863100,214710,38585,4114000,125420,8921.3,2170.2,34486,564.99,374280,2850.2,10465,74747,95858,562.11,386.75,4822.6,613.76,29548,3160.4,62212,9877.8,160450,593.6,1467.8,115160,10512000,426030,313780,84701,215400,117.84,891.92,65856,1850.4,23083,127590,6392.8,68562,48686,9630500,72,RuR
